role,skills,education,experience_type
business development executive,,"Ph.D., M.S.",experienced
business development executive,"anova, cluster analysis, correlation analysis, data analysis, data mining, decision tree, excel, linear regression, logistic regression, machine learning, mysql, natural language processing, neural networks, principal component analysis, python, r, spss, tableau","BSc(CA), MSc(CA)",experienced
management trainee - mechanical,"book, budget, budget 5, ca, carpentry, coaching, communication, communication skills, consulting, contracts, counseling, customer services, designing, drafting, engineer, estimating, features, first aid, focus, hand tools, hvac, inventory, leadership, leadership skills, materials, mathematics, mechanical, meetings, painting, payroll, performance reviews, personnel, physics, plumbing, property management, purchasing, read, reading, record keeping, repairs, safety, scanners, skills, staff, supervising, supervision, test equipment, training, troubleshooting, type, wiring","Course Revisions for the: National Electrical Code, Associate Degree",experienced
software_engineer,"artificial intelligence, data analysis, data analyst, data mining, data modeling, data validation, data visualization, machine learning, power bi, predictive analytics, python, statistical modeling, text analytics","B.Tech, M.Tech",experienced
ai engineer,"access, account reconciliation expert, account reconciliations, accountant, accounting, accounting system, accounting systems, accounts payable, adobe acrobat, advanced computer proficiency (pc and mac), agency, analytical reasoning, and banked cash, and vouchers as well as reconciled records of bank transactions., annual reports, assisted the cfo with the production of the monthly financials, balance, banking, bi, budget, budget analysis, budget forecasting expertise, cash handling, checks, clerical, coded the general ledger and processed vendor invoice payments., contracts, copier, cost accounting, credit and total accounts on computer spreadsheets, database, databases, excel, expert in customer relations, fax, fds, finance, financial, financial analysis, financial management, financial operations, financial reports, financial statements, fiscal management, flexible team player, forecasting, functional, fund accounting, funds, general ledger, general ledger accounting, government, grants, ibm-pc, innovation, inventory, leadership skills, macintosh, mainframe, maintains inventory, management reports and board packages., managerial, managerial accounting, microsoft access, microsoft excel, microsoft office software, monitors, newsletter, office, outlook, payroll, performed debit, phone, policies, powerpoint, processes, profit, program development, proposals, publisher, quickbooks, received, reconciling, record keeping, recorded, repairs, reporting, researched and resolved billing and invoice problems., scanner, strong organizational skills, technical support, time management, type, using specialized accounting software., windows, word, worked with management to document and offset unusual expense variances in their respective areas., written, year-end","Master's, BBA",experienced
marketing,"artificial intelligence, data analysis, data analytics, data mining, data science, deep learning, jupyter, linear regression, machine learning, opencv, python",B.Tech,experienced
project coordinator (civil),"artificial intelligence, bootstrap, c++, css, data analysis, data science, deep learning, html, jdbc, linear regression, machine learning, mysql, php, predictive modeling, statistical modeling","BCA, MCA",experienced
machine learning (ml) engineer,"5s expert, advanced critical thinking, advanced engineering knowledge, calibration, chemical engineering technician, complex problem solver, document management testing, documentation, engineering management, engineering operational functions, engineering standards expert, equipment inventory, excellent communication techniques, google documents, initiative to work independently, inspection, maintain inventory, materials, microsoft excel, ms office proficiency, multidisciplinary exposure, patient and diligent, processes, project and visio, project management, quality inspection professional, safety, safety member, sop, staffing, strategic thinker, strong collaborative skills, supervision, technical support, technician, troubleshooting, troubleshooting specialist, validation process specialist, validations","ESOL Program, Bachelor of Science, Associate of Science",experienced
hr,"algorithms, c, css, data analyst, data structures, frontend, html, java, javascript, machine learning, mysql, oop, php, python, web developer, web development",B.Tech(Computers),experienced
marketing,"base sas, bert, clustering, data analysis, k-means, knn, machine learning, matplotlib, natural language processing, nltk, numpy, pandas, pytesseract, python, regression analysis, seaborn, sql, statistical analysis, text analysis, time series analysis, transformers",B.Sc(CA),experienced
mechanical designer,"artificial intelligence, data modeling, data validation, data visualization, deep learning, machine learning, matplotlib, method development, mongodb, mysql, plotly, python, seaborn",B.Tech,experienced
project coordinator (civil),"accountant, accounting, arabic, balance sheet, bank reconciliations, com, customer service, databases, delivery, e-mail, english, excel, expense reports, financial, financial and accounting, financial statements, forms, general ledger, lecturer, microsoft word, office, page, phone, pricing, quickbooks, resolve customer complaints, telephone, workflow, written",Trained as Accountant,experienced
network support engineer,"agile, agile coach, asp, bootstrap, c#, css, dts, html5, iis 5, iis 6, jquery, kanban, mssql, mysql, objective c, perl, php, product owner, relational database design, rest, scrum, scrum master, soap, ssis, ssrs, team lead, ui design, vb.net, web application development","Associate of Science, Principles of Management",experienced
hr,"academic, documentation, edge, fiber optics, laser, mechanical, scanning","Ph. D, M. S, B. S",fresher
network support engineer,"active learning, client relations, computer proficiency, creative problem solving, critical thinking, data collection, data entry, documentation, email, executive management support, filing, internet research, letters and memos, managing multiple priorities, meticulous attention to detail, minute taking, multi-task management, organizational skills, problem resolution, research, results-oriented, scheduling, service orientation, speaking, spreadsheets, travel arrangements",High School Diploma,experienced
project coordinator (civil),"analytical, and scanners, and write), ascertain accuracy of financial reporting, assured internal controls, bilingual spanish (fluent; speak, calculators, coordination, detail-oriented, developed reconciliation format, documenting operational procedures, excel, interpersonal skills, microsoft office including word, office equipment such as copiers, organizational skills, outlook, powerpoint, prepared various specialty reports, printers, publisher, quickbooks, read, reconciled various general ledger fund accounts, recorded monthly transactions, tax software, thoroughness","Masters, Bachelor, Associate of Arts",experienced
machine learning (ml) engineer,"advanced data analytics, analytical and business acumen, client engagement, communication, data storage, demand creation pursuits, federal government experience, interoperability, it support services","Mechanical-Industrial Engineering, Executive Management, Business Development",experienced
civil engineer,"business analysis, data analyst, data cleaning, data collection, data mining, data visualization, elastic search, google bigquery, kibana, linux, machine learning, ms excel, ms office, python, sql, tableau, text analytics",BCA,experienced
ai engineer,"access, adobe acrobat, autocad, cms, customer relations, delivery, designing, documentation, drafting, electronics, erp, excel, great plains, inventory control, maintain inventory, manufacturing engineer, mrp, outlook, powerpoint, protel, purchasing, quality, receiving, research, router, scheduling, sharepoint, shipping, supervisor, test equipment, train employees, windows, wiring, word",Bachelor of Business Administration,experienced
executive/ sr. executive -it,"administrative support, benefits, billing, conferences, contract administration, data base, director, documentation, filing, forms, home care, home health, hr, human resources, insurance, internet research, leadership, maintaining inventory, management skills, market, patient safety, personnel, phone, policies, presentations, pricing, public relations, purchasing, quality, research, scheduling, scheduling appointments, sharepoint, staffing, transportation, travel arrangements",Bachelor of Sciences,experienced
asst. manager/ manger (administrative),"continuous improvement, database, ergonomics, estimating, inventor, lean manufacturingâ€‹, manufacturing processes, mentor, microsoft office, new product development, processes, quality, safety, six sigma, visio","Applied Industrial Ergonomics, Lean Certification (Parker Lean Boot Camp I, II, and III), EPA Certification, AWS Brazing Certification, Six Sigma Academy Greenbelt Training, Duggan and Associates Value Stream Mapping, Mixed Model Value Stream Mapping, Poke-a-Yoke Certification, Skills",experienced
asst. manager/ manger (administrative),"and humidity, apqp, assembly, biotechnology, calibration, circuit boards, control system design, control systems, corrective maintenance, dmm, documentation, electrical engineer, electrical engineering, electrical mechanical, electrical test, engineer, entry level, esd, estimation, first article inspection, hydraulics, ieee, industrial machinery, inspection, maintenance, manufacturing process, mechanical, mechanical technician, medical devices, oscilloscope, packaging, pneumatics, pr, preventive maintenance, proactive, process control, production process, project manager, public relations, schematic, self motivated, sensor, sensors, soldering, sop, surface mount, temperature, test engineer, testing, through-hole, training, wiring",Bachelor of Science,experienced
asst. manager/ manger (administrative),"computer vision, deep learning, image processing, image segmentation, machine learning, opencv, pattern recognition, pillow, python, ruby",B.Tech(Computers),experienced
devops engineer,"approach, balance sheet, bonds, budgeting, business development, cash flow, clinical research, clinical trials, com, consulting, corporate finance, crm, database, email, english, equities, fast, financial, financials, financing, fundraising, funds, graphical user interface, information systems, innovation, inventory, marketing, network, neural, next, presentations, sales, scientific, spanish, speaker, strategic, strategy, streamline, websites","Master's in Finance, Bachelor of Science",experienced
mechanical engineer,"academic, acrylic, autocad, cad, concept, design process, drawing, eit, engineer-in-training, estimating, graphics and design, laser, material science, microsoft excel, microsoft powerpoint, microsoft word, progress, project management, proposals, reporting, research, robotics, safety, solidworks, statistics, time management, verbal communication skills, weighing, written",Bachelor of Science,experienced
marketing,"5s expert, advanced critical thinking, advanced engineering knowledge, calibration, chemical engineering technician, complex problem solver, document management testing, documentation, engineering management, engineering operational functions, engineering standards expert, equipment inventory, excellent communication techniques, google documents, initiative to work independently, inspection, maintain inventory, materials, microsoft excel, ms office proficiency, multidisciplinary exposure, patient and diligent, processes, project and visio, project management, quality inspection professional, safety, safety member, sop, staffing, strategic thinker, strong collaborative skills, supervision, technical support, technician, troubleshooting, troubleshooting specialist, validation process specialist, validations","ESOL Program, Bachelor of Science, Associate of Science",experienced
mechanical engineer,"c++, python, pytorch, r, snowflake, sql, tableau",B.S.,experienced
executive/ sr. executive -it,"accounting, accounts payable, accounts receivable, accruals, acquisitions, anytime scheduler, billing, closing, consulting, contracts, controller, credit, customer support, excel, fas asset accounting, financial statements, financials, fixed assets, frx, general ledger, human resource, insurance, internet explorer, jd edwards, job costing, kronos, lotus, marketing, mas90, munis, netscape, netscape messenger, outlook, outlook express, payroll, personnel, quickbooks, windows, word","Master, Bachelor of Science",experienced
executive/ sr. executive -it,"accounting, billing, change management, client relations, contracts, database, delivery, eclipse, finance, financial reporting, financial statements, front office, hiring, instructional design, instructor, leadership training, logistics, managing, microsoft office suite, needs analysis, payables, peoplesoft, peoplesoft finance applications, peoplesoft hrms, personnel, program management, project management, project plans, teaching, training design and development, training material, training materials, training programs, upgrade, videoscribe software, view","Master of Science, Bachelor of Science, Bachelor of Science",experienced
mechanical designer,"advanced data analytics, analytical and business acumen, client engagement, communication, data storage, demand creation pursuits, federal government experience, interoperability, it support services","Mechanical-Industrial Engineering, Executive Management, Business Development",experienced
machine learning (ml) engineer,"data analytics, data engineer, data visualization, machine learning, mongodb, mysql, powerbi, predictive modeling, python, statistical modeling, tableau","B.Tech, PG Diploma",experienced
marketing,"computer vision, deep learning, machine learning, matplotlib, mysql, numpy, opencv, panda, python, pytorch, r",B.Tech,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","act!, adc, and marketing, b2c, bi, budget, business development, business intelligence, business process improvement, business requirements, business writing, clients, coaching, compounding, contracts, correspondence, data mining, drafting, e-learning, excel, fannie mae, federal acquisition, federal government, fedex, finance, fundraising, gse, horizontal, hospital pharmacy, increase, instructor, integration, integrator, inventory, investor relations, lending, loans, maintenance, market share, marketing, marketing collateral, marketing department, marketing plan, mba, mckesson, mentoring, metrics, microsoft office, microsoft sharepoint, mortgage, mortgage banking, mortgage lending, ms office, networking, operations, outlook, outpatient, pentaho, pharmacy, powerpoint, pricing, process improvement, progress, project management, project plans, promotional, proposal development, publisher, real estate, retail, retail marketing, retail mortgage, robotic, sales, sales manager, sap, sharepoint, siebel, six sigma, six-sigma, solutions, strategic marketing, strategic planning, training, user experience, visio, web based, web-based, white papers, word","Pharmacy Technician, Executive MBA, Bachelor of Arts",experienced
software_engineer,"driver booster, dvd, falcon dust-off compressed gas duster, fluke 115 compact true-rms digital multimeter, ifixit pro tech toolkit, malwarebytes, passmark memtest86, recuva, teamviewer, ultimate boot cd (ubcd), windows installation usb",Associate of Applied Science,experienced
executive/ sr. executive -it,"adobe acrobat, adobe creative suite, advertising, api, benefits, branding, business development, client support, communicator, competitive, competitive analysis, content development, creativity, crm, data management, director, fast learner, illustrator, indesign, market, market research, marketing, marketing plans, marketing strategies, marketing strategist, media relations, messaging, microsoft dynamics, ms outlook, organizational skills, outside sales, photoshop, positioning, presenter, problem-solver, processes, purchasing, quality control, real estate, reporting, research, sales, software development, strategic, strategy, technical sales, trainer, training materials, vision, works, writer",Bachelor of Science,experienced
executive/ sr. executive -it,"continuous improvement, database, ergonomics, estimating, inventor, lean manufacturingâ€‹, manufacturing processes, mentor, microsoft office, new product development, processes, quality, safety, six sigma, visio","Applied Industrial Ergonomics, Lean Certification (Parker Lean Boot Camp I, II, and III), EPA Certification, AWS Brazing Certification, Six Sigma Academy Greenbelt Training, Duggan and Associates Value Stream Mapping, Mixed Model Value Stream Mapping, Poke-a-Yoke Certification, Skills",experienced
executive/ sr. executive -it,"active learning, client relations, computer proficiency, creative problem solving, critical thinking, data collection, data entry, documentation, email, executive management support, filing, internet research, letters and memos, managing multiple priorities, meticulous attention to detail, minute taking, multi-task management, organizational skills, problem resolution, research, results-oriented, scheduling, service orientation, speaking, spreadsheets, travel arrangements",High School Diploma,experienced
mechanical designer,"analytics, data analysis, data analytics, data cleaning, data preparation, excel, machine learning, pivot table, postgresql, powerbi, predictive modeling, python, sql, webscrapping, xml",Bachelor of Science,experienced
senior ios engineer,"arcview, autocad, drafting, file maintenance, gps, graphic, inspection, microsoft access, microstation, repairs, supervision, surveys, utilities","BS, AAS",experienced
ai engineer,"banking, c, client, clients, closing, consulting, contracts, crm, customer relationship management, e-mail, energy saving, focus, forms, functional, hardware, insurance, managing, market, marketing, microsoft office suite, network, new business development, newsletter, office, outlook, proposals, sales, salesforce.com crm, selling, six sigma, utilities",B.S,experienced
network support engineer,"artificial intelligence, business analytics, data analysis, data science, data structure, dbms, deep learning, java, machine learning, powerbi, software development, software engineering, sql, tableau",B.Tech,experienced
project coordinator (civil),"c, c++, machine learning, prediction modelling, python, software developer",B.Tech,experienced
network support engineer,"data entry, employee training, equipment maintenance, erp : microsoft ax dynamics, failure analysis, inspection, lean manufacturing, mechanical processes, protocols execution, supervisory, system integration, team player, troubleshooting",Diploma,experienced
civil engineer,"access, c programming, excel, html 5, java, python, sql",Bachelor of Science,experienced
mechanical designer,"artificial intelligence, aws, c++, clustering, cnn, data analyst, data analytics, flask, git, image processing, linear regression, machine learning, mongodb, neural networks, python, pytorch",B.TECH,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","calbench, fasb & gaap standards, generally accepted auditing standards, intuit proseries, lacerte, microsoft access, microsoft excel, microsoft outlook, microsoft power pivot, microsoft powerpoint, microsoft word, quickbooks, sage, sarbanes-oxley","Master of Science, Bachelor of Science",experienced
machine learning (ml) engineer,"artificial intelligence, business analytics, credit risk modeling, data analysis, data analytics, deep learning, fraud detection, linux, machine learning, natural language processing, portfolio analysis, predictive analytics, pyspark, python, r programming, sql",B.Tech,experienced
network support engineer,"clustering, data analytics, data science, data structures, linux, logistic regression, machine learning, python, software developer, software engineer, statistical analysis, unix, visual studio",Bsc (IT),experienced
site engineer,"continuous improvement, database, ergonomics, estimating, inventor, lean manufacturingâ€‹, manufacturing processes, mentor, microsoft office, new product development, processes, quality, safety, six sigma, visio","Applied Industrial Ergonomics, Lean Certification (Parker Lean Boot Camp I, II, and III), EPA Certification, AWS Brazing Certification, Six Sigma Academy Greenbelt Training, Duggan and Associates Value Stream Mapping, Mixed Model Value Stream Mapping, Poke-a-Yoke Certification, Skills",experienced
devops engineer,"aardwolf, adtran, assist, ccp, decorating, excel, fiber brains, icgs, idds, lfacs, lotus sametime, microsoft outlook, microstation, office party and event planning, office switchphone, plat indexes, requestnet, ringbuilder, switch, tirks, traffic control and state highway database, venue, word, workforce management systems, wsam image, wsam-dc fiber","Food Handler Certificate, High School Diploma",experienced
devops engineer,"biology, budget, charts, cost analysis, data analysis, documentation, equipment operation, experiments, graphs, laser, materials, natural gas, oil, oral, pq, process development, process improvement, process-engineering, producing, product development, protocols, quality assurance, research, staffing, supervisory, technical support, technician, time management, trouble shooting, validation, waste reduction",Bachelor of Science,experienced
executive - vat,"business analytics, data analysis, data analyst, data analytics, data visualization, image processing, linear regression, predictive modeling, python, regression analysis, requirement analysis, sql, statistical analysis, tableau, time series analysis",BSc,experienced
ai engineer,"artificial intelligence, data analysis, data analytics, data exploration, data mining, deep learning, linear regression, machine learning, sequential analysis",B.Tech,experienced
mechanical designer,"accounting, accounting systems, ad, analytical skills, auditing, automation, billing, budget, budgeting, budgets, business operations, business process, cash flow, cash-flow, closing, contracts, cpa, crystal reports, database management, enterprise, essbase, excel, financial, financial accounting, financial analysis, financial reporting, financial statements, fixed assets, forecasting, general ledger, great plains, hyperion, inventory, law, ledger, market, mas 90, ms office, negotiation, peachtree, personnel, planning, policies, pricing, processes, quantitative analysis, quickbooks, reconciling, relationship management, reporting, research, researching, sales, sarbanesoxley, senior management, strategic planning, tax, tax preparation, taxes, trend",BS,experienced
business development executive,"administrative assistant, benefits, clerical, clients, data entry, database, excel, experienced with microsoft office - word, features, filing, forms, gis, mail, mailing, meetings, microsoft office - word, office equipment, outlook, phone, policies, processes, reception, recording, retail, scanning, sharepoint, sharepoint & costpoint, telephone, typing",B.S. Degree,experienced
asst. manager/ manger (administrative),"c, c++, data modeling, data science, java, machine learning, python, requirement gathering",B.Tech,fresher
software_engineer,"business analytics, data analysis, data analyst, data analytics, data visualization, image processing, linear regression, predictive modeling, python, regression analysis, requirement analysis, sql, statistical analysis, tableau, time series analysis",BSc,experienced
data_analyst,"a, account reconciliations, accountant, accounting, accounts and, accounts for, and account, as400, audit, automated payroll, balance sheet, balance sheets, bank reconciliations, bookkeeper, bookkeeping, business management, cash, clerical, clients, contracts, cpa, excel, financial statements, g, general ledger, inventory, invoice, its, job costing, journal, l, office administration, office management, office manager, operations, outlook, p, payroll, payroll processing, peachtree, peachtree accounting, powerpoint, process payroll, progress, quickbooks, r, reconciliations, reconciling, restaurant manager, scheduling, secretary, state tax, tax returns, timberline, timberline software, training, typing, word","A.A., Diploma",experienced
executive - vat,"agile methodology, application programming, client management, java, machine learning, project management, requirement gathering, software development, system analysis, technical architecture",B.Tech,experienced
project coordinator (civil),"access, ap, ar, bank reconciliations, billings, budgets, cash flow projections, excel, financial statements, government contracting, great plains, jde, labview, matlab, peachtree, proactive, quickbooks, self-motivated, team player, word","Master of Science, M. Eng, Bachelor of Science",experienced
executive/ sr. executive -it,"5s expert, advanced critical thinking, advanced engineering knowledge, calibration, chemical engineering technician, complex problem solver, document management testing, documentation, engineering management, engineering operational functions, engineering standards expert, equipment inventory, excellent communication techniques, google documents, initiative to work independently, inspection, maintain inventory, materials, microsoft excel, ms office proficiency, multidisciplinary exposure, patient and diligent, processes, project and visio, project management, quality inspection professional, safety, safety member, sop, staffing, strategic thinker, strong collaborative skills, supervision, technical support, technician, troubleshooting, troubleshooting specialist, validation process specialist, validations","ESOL Program, Bachelor of Science, Associate of Science",experienced
network support engineer,"ability to stand and walk for hours at time., adobe, advanced anatomy knowledge, advanced knowledge of embedded systems, competency in procedure development, database servers, dhcp, dns ethernet and firewall proficient, document management, engineering standards, information security, ip protocols, knowledge of manufacturing test methodologies., lan aptitude, local remoter systems support, microsoft excel, ms office proficient, osha regulations, pc security systems, printers, proficiency in tcp, proficient in avg, project and visio, vast technical knowledge, vista, windows xp",,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","analysis, ann, bounding algorithms, data science, decision trees, heuristics, hypothesis analysis, machine learning, optimization, svm","B.Sc (Computer Science Engineering), M.Sc (Data Science)",experienced
software_engineer,"accounts receivable, aia, bank reconciliation, billing, billings, budgets, cash flow, clients, consultant, contracts, controller, daily cash receipts, excel, express, financial, financial reports, financial statements, forms, general ledger, general ledger accounts, government, insurance, meetings, microsoft office applications, office, pivot tables, powerpoint, presentations, prime, progress, proposals, reporting, spreadsheet, tax, timberline","M.B.A, B.A",experienced
ai engineer,"chain management, defect detection, embedded software development, embedded systems, machine learning, project management, unit testing",B.Tech,experienced
site engineer,"32 and 64 slice ct's, 9800, 9900 portable c-arm, apache, aramark service trained on ge 9600, aramark service trained on ge amx 4 and amx4+ portable xr unit, aramark service trained on ge precision 500 radiology and fluoroscopic image system, basic and advanced supervision training courses, cbmet, cisco, foresight imaging systems trained on dicom protocols, linux, microsoft applications, mysql, php, skilled in the operation of ms 2000, skilled in the operation of networks, skilled in the operation of workstations and servers, toshiba certified service trained on aquilion 16, toshiba certified service trained on siemens e-cam nuclear medicine camera, toshiba certified service trained on vantage 1.5 t 8 channel mri, unix, windows 7","AAS, BA, Diploma",experienced
executive - vat,"assisted living, insurance, internal medicine, interpersonal and communication, managing, marketing, meetings, mentor, networking, office, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, team player, time management",B.A,experienced
site engineer,"audio, automation, c, c#, c++, cd-roms, ceridian, cisco, clients, cost reduction, drivers, executive management, functional, hardware, inspection, intel, java, linux, mac, managing, marketing and sales, multimedia, objective c, os, policies, printers, processes, product development, quality, quality assurance, quest, sales, scanners, scheduling, scripts, scrum, software development, software testing, sound cards, sun, test tools, usb, validation, video, vista, windows, windows xp","Master of Science, Bachelor of Science",experienced
executive/ sr. executive -it,"account management, business development, business to business, business to customer, calm under pressure, contract negotiation, p&l management, total quality management",Bachelor of Science,experienced
mechanical designer,"artificial intelligence, business analytics, data analysis, data science, data structure, dbms, deep learning, java, machine learning, powerbi, software development, software engineering, sql, tableau",B.Tech,experienced
mechanical engineer,"bert, big data, data scientist, hive, machine learning, matplotlib, natural language processing, pandas, pyspark, python, scala, scikit learn, sql, transformers",B.tech,experienced
mechanical designer,"artificial intelligence, bootstrap, c++, css, data analysis, data science, deep learning, html, jdbc, linear regression, machine learning, mysql, php, predictive modeling, statistical modeling","BCA, MCA",experienced
mechanical engineer,"aws, bert, data science, deep learning, devops, docker, flask, git, glove, gpu, keras, linux, lstm, lucene, machine learning, mysql, natural language processing, neural networks, numpy, pandas, python, pytorch, rnn, spacy, tensorflow",B.Tech,experienced
mechanical designer,"access, adt, api, application analysis, application development, application support, architecture, assurance analyst, automated test scripts, automated testing, back end, basis, billing, black box, black box testing, business intelligence, business process management, c++, cases, client, clients, collection, contracts, data acquisition, data collection, data integrity, data mining, data warehousing, database, database systems, databases, db2, dbase, dbase iv, design review, dispatching, documentation, dos, e-business, electrical engineering, embedded systems, encryption, engineer, excellent verbal and written communication skills, exchange, file, ftp, graphical user interface, gui, html, ieee, inspections, integration, integration testing, integrator, internet explorer, inventory, invoice, ip, ipx, issues management, java, javascript, lan, linux, logistics, lotus notes, maintenance, maintenance repair, microsoft windows, ms access, ms exchange, ms office, ms visual basic, ms-dos, netbeui, netscape, network protocols, networking, new products, novell, operations, oracle, planning modules, pocket pc, printing, problem solving, process management, progress, proposals, qa, qa engineering, qa test, qa testing, quality assurance, quality engineer, rdbms, real time, real time embedded, real time embedded systems, regression testing, retail, retail marketing, san, scheduling, security, server, shipping, software development, software quality assurance, software quality engineer, software testing, solutions, sql, staff training, storage area network, strategic planning, structured software, system administration, system integration, systems administration, systems support, tcp, team lead, telephones, telephony, test cases, test plan, test plans, test scripts, testing, training, unix, usability, virtual machine, visual basic, visual test, vm, voice, wap, white box, white box testing, windows 95, wireless, wireless data","Minor, Testing Computer Software, BS",experienced
data_analyst,"c, c++, code blocks, css, data structures, google colab, html, java, javascript, jupyter notebook, keras, matlab, ms office, numpy, opencv, pycharm, pytesseract, python, scikit-learn, sql, tensorflow, turbo c++","B.Tech. (Electrical Engineering Specialization in Computer Science), XII, X",experienced
civil engineer,"access, ap, ar, bank reconciliations, billings, budgets, cash flow projections, excel, financial statements, government contracting, great plains, jde, labview, matlab, peachtree, proactive, quickbooks, self-motivated, team player, word","Master of Science, M. Eng, Bachelor of Science",experienced
network support engineer,"assisted living, insurance, internal medicine, interpersonal and communication, managing, marketing, meetings, mentor, networking, office, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, team player, time management",B.A,experienced
software_engineer,"algorithm development, computer vision, data analysis, data mining, data science, deep learning, linear regression, machine learning, market basket analysis, nosql, python, r, sql, statistical analysis","B.Com, PG Diploma",experienced
marketing,"account reconciliation, accounts receivable accounts payable, adp, budget planning, cash management, cdi, financial statement analysis, fixed assets, full accounting cycle, general ledger accounting, inventory & purchases, microsoft excel, microsoft office suite, microsoft outlook, microsoft powerpoint, microsoft word, pc law, peachtree, pico or suri, pr soft, quickbooks","MBA, BBA",experienced
software_engineer,"ability to stand and walk for hours at time., adobe, advanced anatomy knowledge, advanced knowledge of embedded systems, competency in procedure development, database servers, dhcp, dns ethernet and firewall proficient, document management, engineering standards, information security, ip protocols, knowledge of manufacturing test methodologies., lan aptitude, local remoter systems support, microsoft excel, ms office proficient, osha regulations, pc security systems, printers, proficiency in tcp, proficient in avg, project and visio, vast technical knowledge, vista, windows xp",,experienced
senior ios engineer,"css, git, html, javascript (angular), postgresql), python (django), ruby on rails, sql (mysql",Bachelor of Science,experienced
mechanical engineer,"analytics, data analysis, data analytics, data cleaning, data preparation, excel, machine learning, pivot table, postgresql, powerbi, predictive modeling, python, sql, webscrapping, xml",Bachelor of Science,experienced
mechanical engineer,"5s expert, advanced critical thinking, advanced engineering knowledge, calibration, chemical engineering technician, complex problem solver, document management testing, documentation, engineering management, engineering operational functions, engineering standards expert, equipment inventory, excellent communication techniques, google documents, initiative to work independently, inspection, maintain inventory, materials, microsoft excel, ms office proficiency, multidisciplinary exposure, patient and diligent, processes, project and visio, project management, quality inspection professional, safety, safety member, sop, staffing, strategic thinker, strong collaborative skills, supervision, technical support, technician, troubleshooting, troubleshooting specialist, validation process specialist, validations","ESOL Program, Bachelor of Science, Associate of Science",experienced
mechanical designer,"business intelligence, cloud computing, data analyst, data extraction, data interpretation, data visualization, excel, microsoft azure, mysql, power bi, saas, spss, sql, statistical analysis",B.Tech,experienced
project coordinator (civil),"accounting software, autocad, balance, budget, capital expenditures, civil engineering, client, consulting, contracts, customer care, dc, design and construction, engineering design, expense reports, express, filing, handling cash, interpersonal communications, marketing research, materials, meetings, microstation, ms excel, ms powerpoint, ms word, office, peak, prepare contract, prime, project plans, recording, specification, transportation, utilities, written communication",Bachelor of Science,experienced
civil engineer,"audience, business analyst, business analytics, business intelligence, customer engagement, data mining, data modeling, machine learning, market research, predictive analysis, python, research associate, retention, risk management",B.Tech,experienced
ai engineer,"ability to stand and walk for hours at time., adobe, advanced anatomy knowledge, advanced knowledge of embedded systems, competency in procedure development, database servers, dhcp, dns ethernet and firewall proficient, document management, engineering standards, information security, ip protocols, knowledge of manufacturing test methodologies., lan aptitude, local remoter systems support, microsoft excel, ms office proficient, osha regulations, pc security systems, printers, proficiency in tcp, proficient in avg, project and visio, vast technical knowledge, vista, windows xp",,experienced
devops engineer,"data analytics, machine learning, natural language processing, nltk, production analytics, production engineering, python, tableau",B.Tech,experienced
network support engineer,"business analysis, business analytics, data analysis, data analytics, data science, machine learning","B.Tech, MBa",experienced
software_engineer,"access, adapt to new technology at an accelerated rate, assemble, c++, construct, create circuits with multisim cad software, current, dc circuits, determine voltage, digital communications with fiber optics, disassemble pcs and electronics to the component level, excel, familiar in c+, gshell, identify electronic components and schematic symbols, inductors and transformers, java script, linux, microsoft team foundation, microsoft test manager, osi, outlook, powerpoint, proficient with microsoft word, resistance and power by calculations and measurements, shielded pair and coaxial, skilled in the use of hand tools for repairing and installing electronics, sql, strong oral and written communication skills, studied and understand programmable logic controllers, tera term, test and troubleshoot ac, troubleshoot and identify faulty capacitors, understand different types of transmission lines: twisted pair, utilize oscilloscopes to measure ac frequency, utp, very proficient in soldering, visual studio","Associate of Science Degree, Bachelor of Science Degree",experienced
management trainee - mechanical,"assembly, automation, budget, calibration, catsweb, cip, cnc, coaching, creo, injection molding, manufacturing, manufacturing process development and improvement, manufacturing yield improvement, minitab, ms office suite, ms project, ms visio, process engineering, proengineer, stat graphics, trackwise","Master of Science, Bachelor of Arts",experienced
project coordinator (civil),"account reconciliation processes, active-listening, administrative support, and critical thinking skills, customer service, data entry, financial statements, general ledger proficiency, interpersonal, microsoft office, proficient in polish language, superior analytical skills","Bachelor of Science, Associate",experienced
business development executive,"accounting, accounting systems, accounts payable, accounts receivable, administrative, analytical reasoning, annual reports, ar, billing, client, clients, closing, compliance testing knowledge, documentation, effective time management, financial, financial reports, fixed assets, maintain records, managing, month-end closing, policies, preparation of financial reports, preparation of financial statements, public and private accounting, reporting, research, sales, tax, tax returns, taxes, year-end",Bachelor of Business Administration,experienced
